Company Name,Website,Email,Phone,Fax,Address,Employees,Established,Revenue,Facebook,Google+,Twitter,YouTube,Instagram,RSS,Xing,LinkedIn
ZVO Service GmbH,www.zvo.org,mail@zvo.org,+49 2103-2556-20,+49 2103-2556-25,"Itterpark 4, 40724 Hilden, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZVEI-Services GmbH,www.zvei-services.de,zsg@zvei-services.de,+49 69 6302-200,+49 69 6302-482,"Lyoner Str. 9, 60528 Frankfurt, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zürcher-Technik AG,www.zuercher.ch,info@zuercher.ch,+41 619751010,+41 619751050,"Neumattstr. 6, 4450 Sissach, Schweiz",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zuken GmbH,www.zuken.com,info@zuken.com,+49 89-710405900,+49 8960769601,"Am Söldnermoos 17, 85399 Hallbergmoos, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zühlke Engineering GmbH,www.zuehlke.com,frankfurt@zuehlke.com,+49 6196-777540,+49 6196/7775454,"Düsseldorfer Str. 38, 65760 Eschborn, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZORN Maschinenbau GmbH,www.zorn-maschinenbau.com,zorn@zorn-maschinenbau.com,+49 7771-87373200,+49 7771 87373299,"Höllstr. 11, 78333 Stockach, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTA Eismann GmbH,www.asta-eismann.de,info@asta-eismann.de,+49 2525-93060,+49 2525930620,"Mark I 16, 59269 Beckum, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zollner Elektronik AG,www.zollner.de,info@zollner.de,+49 9944-201-0,+49 9944-201-1314,"Manfred-Zollner-Str. 1, 93499 Zandt, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AST Beschichtungstechnik,www.thermcoat.de,ast@thermcoat.de,+49 7955-93600,+49 7955936060,"Rudolf-Diesel-Str. 6, 74585 Rot am See, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zimmer GmbH,www.zimmer-group.de,info@zimmer-group.de,+49 7243-7270,+49 7243-7272299,"Pforzheimer Str. 70, 76275 Ettlingen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zimmer & Kreim GmbH & Co. KG,www.zimmer-kreim.com,info@zk-system.com,+49 6161-9307-0,+49 6161-1498,"Beineäcker 10, 64395 Brensbach, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zierick Manufacturing Corp.,www.zierick.com,N/A,+1 1-9146662911,+1 19146660216,"Radio Circle 131, 10549 Mount Kisco, USA",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZIEHL-ABEGG SE,www.ziehl-abegg.de,info@ziehl-abegg.de,+49 7940-16-0,+49 7940-16-677,"Heinz-Ziehl-Str. 4, 74653 Künzelsau, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZF Friedrichshafen AG,www.zf.com,postoffice@zf.com,+49 7541 770,+49 7541 77908000,"88038 Friedrichshafen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZEVATRON Löttechnik GmbH,www.zevatron.com,info@zevatron.com,+49 5693-869,+49 5693-392,"Lütersheimer Str. 30, 34471 Volkmarsen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZEVAC AG,http://www.zevac.ch,info@zevac.ch,+41 326262080,+41 326262090,"Vogelherdstr. 4, 4500 Solothurn, Schweiz",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZETA GmbH,www.zeta.com,office@zeta.com,+43 3136 9010-0,+43 3136 9010-9100,"Zetaplatz 1, 8501 Lieboch, Österreich",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZESTRON Europe,www.zestron.de,info@zestron.com,+49 841-63590,+49 841-63540,"Bunsenstr. 6, 85053 Ingolstadt, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZES ZIMMER Electronic Systems GmbH,www.zes.com,info@zes.com,+49 6171888320,+49 -52086,"Pfeiffstr. 12, 61440 Oberursel, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZERTEC UG,www.zertec.info,info@zertec.info,+49 173-3642385,N/A,"Wallner an der Osterwies 27, 84503 Altötting, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZeroClamp GmbH,www.zeroclamp.com/de/,info@zeroclamp.com,+49 8178-90998-0,+49 8178-90998-29,"Wadlhausen 14, 82057 Icking, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zeppelin Systems GmbH,www.zeppelin-systems.com,zentral.fn@zeppelin.com,+49 60746910,+49 7541 2021491,"Graf-Zeppelin-Platz 1, 88045 Friedrichshafen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zentrale Auslands- und,www.arbeitsagentur.de,bonn-zav-fw@arbeitsagentur.de,+49 228-713-1313,+49 228-713-1111,"Villemombler Str. 76, 53123 Bonn, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zollern GmbH & Co. KG,www.zollern.de,info@zollern.com,+49 7571-700,+49 7571-70602,"Hitzkofer Str. 1, 72517 Sigmaringendorf, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zeltwanger Holding GmbH,www.zeltwanger.de,holding@zeltwanger.de,+49 7071366379,N/A,"Jopestr. 3, 72072 Tübingen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carl Zeiss Microscopy GmbH,www.zeiss.de,microscopy@zeiss.com,+49 3641-64-3161,+49 3641-64-3439,"Carl-Zeiss-Promenade 10, 07745 Jena, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carl Zeiss Industrielle,www.zeiss.de,imt_de_apteam@zeiss.com,+49 7364-200,+49 711-3802-113,"73446 Oberkochen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZehBra GmbH & Co. KG,www.zehbra.de,info@zehbra.de,+49 361-6573360,+49 361-65733620,"An der Flurscheide 10, 99098 Erfurt, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZIMM Maschinenelemente,www.zimm-austria.com,info@zimm.at,+43 55778060,+43 557780660,"Millenniumpark 3, 6890 LUSTENAU, Österreich",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zecha Hartmetall-,www.zecha.de,info@zecha.de,+49 7232-3022-0,+49 7232-3022-25,"Benzstr. 2, 75203 Königsbach-Stein, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZCC Cutting Tools Europe GmbH,www.zccct-europe.net,info@zccct-europe.com,+49 211-9892400,+49 211989240228,"Wanheimer Str. 57, 40472 Düsseldorf, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zahoransky AG,www.zahoransky.com,info@zahoransky.de,+49 7671-997-0,+49 7671-997-299,"Anton-Zahoransky-Str. 1, 79674 Todtnau, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZaTeC Zahnräder GmbH & Co. KG,www.zatec-gmbh.de,info@zatec-gmbh.de,+49 7246-945200,N/A,"Daimlerstr. 20 A, 76316 Malsch, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Z-LASER GmbH,z-laser.com,info@z-laser.de,+49 761-2964444,+49 761-2964455,"Merzhauser Str. 134, 79100 Freiburg, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Comet Yxlon GmbH,yxlon.comet.tech/de/,yxlon@comet.tech,+49 40 527290,+49 40 52729170,"Essener Bogen 15, 22419 Hamburg, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zimmerlin GmbH Edelstahl-Technik,www.zimmerlin.de,info@zimmerlin.de,+49 7663 / 6088-0,+49 7663-6088-88,"Frohmattenstr. 19, 79268 Bötzingen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
voraus robotik GmbH,www.vorausrobotik.com,info@vorausrobotik.com,+49 511 89810600,N/A,"Carl-Buderus-Str. 7, 30455 Hannover, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
you-can export development gmbh,www.you-can.biz,contact@you-can.biz,+41 41-9215888,N/A,"Bahnhofstr. 7b, 6210 Sursee, Schweiz",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZIEMEX SAS,www.ziemex.com,sales@ziemex.com,+33 38800 3940,+33 38800 1239,"Route de Sarrebourg, 67269 Sarre Union Cedex, Frankreich",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ystral GmbH maschinenbau +,ystral.com,ystral@ystral.de,+49 7634-56030,+49 7634560399,"Wettelbrunnerstr. 7, 79282 Ballrechten-Dottingen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yamaichi Electronics,www.yamaichi.de,info@yamaichi.de,+49 89-451090,+49 89/45109110,"Bahnhofstr. 20, 85609 Aschheim, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YASKAWA Europe GmbH,www.yaskawa.de,info@yaskawa.de,+49 6196 569300,+49 6196 569398,"Philipp-Reis-Str. 6, 65795 Hattersheim, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yamaha Motor Europe N.V.,www.yamaha-motor-robotics.de,ymerobitucs.info@yamaha-motor.de,+49 2131-2013520,N/A,"Hansemannstr. 12, 41468 Neuss, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STÜBBE GmbH & Co. KG,stuebbe.com,contact@stuebbe.de,+49 5733-7990,+49 5733-799-5000,"Hollwieser Str. 5, 32602 Vlotho, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
YADOS GmbH,www.yados.de,info@yados.de,+49 3571-209320,+49 3571 20932-999,"YADOS-Str. 1, 02977 Hoyerswerda, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xSuite Group GmbH,"<a href=""http://www.xsuite.com"" target=""_blank"">www.xsuite.com</a>","<a href=""mailto:info@xsuite.com"">info@xsuite.com</a>",+49 4102 88380,N/A,"Hamburger Str. 12, 22926 Ahrensburg, Deutschland",Weltweit 230 Beschäftigte (Stand 2023),1994,43 Mio. EUR,https://www.facebook.com/XSuiteGroup,N/A,https://twitter.com/xsuitegroup, https://www.youtube.com/user/WMDVertriebGmbH,N/A,N/A,https://www.xing.com/pages/xsuitegroup,https://www.linkedin.com/company/xsuite-group/
Xometry Europe GmbH,www.xometry.de,info@xometry.de,+49 89/3803-4818,N/A,"Ada-Lovelace-Str. 9, 85521 Ottobrunn, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xft GmbH,www.xft.de,info@xft.de,+49 6227-545550,+49 6227/54 555-44,"Altrottstr. 31, 69190 Walldorf, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
X-Visual Technologies GmbH,www.x-visual.com,info@x-visual.com,+49 30-63926125,+49 3063926127,"Johann-Hittorf-Str. 8, 12489 Berlin, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wymed AG,www.wymed.ch,info@wymed.ch,+41 448655566,+41 448651866,"Obstgartenweg 1, 8427 FREIENSTEIN, Schweiz",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WÜRTH MODYF GmbH & Co. KG,www.modyf.com,info@modyf.com,+49 7940 5480 0,+49 7940 5480 50,"Benzstr. 7, 74653 Künzelsau-Gaisbach, Deutschland",N/A,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wunschmann GmbH,www.wunschmann.de,stephan@wunschmann.de,+49 7457-8059,+49 74574697,"Etzwiesenstr. 39, 72108 Rottenburg, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wulfhorst GmbH,www.wulfhorst.de,info@wulfhorst.de,+49 5241 98680,+49 5241 986899,"Herzebrocker Str. 5, 33330 Gütersloh, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Würth Industrie Service,"<a href=""http://www.wuerth-industrie.com"" target=""_blank"">www.wuerth-industrie.com</a>","<a href=""mailto:info@wuerth-industrie.com"">info@wuerth-industrie.com</a>",+49 7931-910,+49 7931914000,"Drillberg, 97980 Bad Mergentheim, Deutschland",über 1.750 Mitarbeitende,13. Januar 1999,422 Mio. Euro (2022),https://de-de.facebook.com/Wuerth.Industrie.Service.Jobworld,N/A,N/A,https://www.youtube.com/WuerthIndustrie,http://www.instagram.com/wuerth_industrie_service,N/A,https://www.xing.com/companies/w%C3%BCrthindustrieservicegmbh%26co.kg,https://www.linkedin.com/company/w-rth-industrie-service-gmbh-&-co.-kg
Yokogawa Deutschland GmbH,www.yokogawa.de,info@yokogawa.de,+49 2102-49830,+49 2102/498322,"Broichhofstr. 7 -11, 40880 Ratingen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WUCATO Marketplace GmbH,"<a href=""https://www.wucato.de"" target=""_blank"">https://www.wucato.de</a>","<a href=""mailto:info@wucato.de"">info@wucato.de</a>",+49 711 45 99 769-0,N/A,"Feuerseeplatz 14, 70176 Stuttgart, Deutschland",ca. 40 Mitarbeitende,2015 gegründet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.xing.com/companies/wucatomarketplacegmbh,https://www.linkedin.com/company/wucato
Yamazaki Mazak Deutschland GmbH,www.mazakeu.de,info@mazak.de,+49 7161-6750,+49 7161675273,"Esslinger Str. 4-6, 73037 Göppingen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WSM - Automation GmbH,www.wsm-automation.de,info@wsm-automation.de,+49 2305-963240,+49 2305/96324-44,"Kupferstr. 7, 44577 Castrop-Rauxel, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wörner,www.woerner-gmbh.com,sales@woerner-gmbh.com,+49 711-6016090,+49 71160160910,"Rechbergstr. 50, 73770 Denkendorf, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WSCAD GmbH,www.wscad.com,info@wscad.com,+49 8131-36270,+49 -50,"Dieselstr. 4, 85232 Bergkirchen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WOLL MASCHINENBAU GmbH,www.woll-maschinenbau.de,info@woll-maschinenbau.de,+49 681-97024-0,+49 681/97024-24,"Krughütter Str. 93, 66128 Saarbrücken, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Workaround GmbH,www.proglove.de,marketing@proglove.de,+49 89 26203500,N/A,"Rupert-Mayer-Str. 44, 81379 München, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Wolk AG, Schilderwerk,",www.wolkdirekt.com,N/A,+49 202-24350120,+49 2022435200,"Am Kiesberg 12 -14, 42117 Wuppertal, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wolfgang Zaininger,www.zaininger-wzm.de,office@zaininger-wzm.de,+49 8093-3344,+49 8093 3345,"Münchener Str. 10, 85667 Oberpframmern, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wolfgang Faßnacht Werkzeug- und,formenbau-fassnacht.de,formenbau@fassnacht.de,+49 8234-96540,+49 8234965411,"Boschstr. 12 a, 86399 Bobingen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wolfgang Bott GmbH & Co. KG,www.bott-hydraulik.de,info@bott-hydraulik.de,+49 7473-94680,+49 7473946820,"Maybachstr. 4+ 8, 72116 Mössingen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wolftechnik,www.wolftechnik.de,info@wolftechnik.de,+49 7033-70140,+49 7033 701420,"Malmsheimer Str. 67, 71263 Weil der Stadt, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wolfensberger AG,www.wolfensberger.ch,wag@wolfensberger.ch,+41 523961111,+41 523961550,"Bäretswilerstr. 45, 8494 BAUMA, Schweiz",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Witzenmann GmbH,www.witzenmann.com,wi@witzenmann.com,+49 7231-5810,+49 7231581820,"Östliche Karl-Friedrich-Str. 134, 75175 Pforzheim, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wittmann Technology GmbH,www.wittmann-group.com,info.at@wittmann-group.com,+43 125039186,+43 12597170,"Lichtblaustr. 10, 1220 WIEN, Österreich",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wohlhaupter GmbH,N/A,info@wohlhaupter.de,+49 7022-4080,+49 7022408177,"Maybachstr. 4, 72636 Frickenhausen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WITTENSTEIN SE,www.wittenstein.de,info@wittenstein.de,+49 7931-4930,+49 7931-493200,"Walter-Wittenstein-Str. 1, 97999 Igersheim, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WITTENSTEIN alpha GmbH,www.wittenstein-alpha.de,info@wittenstein-alpha.de,+49 7931 4930,+49 7931 493200,"Walter-Wittenstein-Str. 1, 97999 Igersheim, Deutschland",2900,1984,426 Millionen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Witte Barskamp GmbH & Co. KG,www.witte-barskamp.de,info@witte-barskamp.de,+49 5854-890,+49 5854-8940,"Horndorfer Weg 26-28, 21354 Bleckede, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wissner Gesellschaft für,www.wissner-gmbh.com,wissner@wissner-gmbh.de,+49 551-50508-10,+49 5515050830,"August-Spindler-Str. 14, 37079 Göttingen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WISKA Hoppmann GmbH,www.wiska.com,contact@wiska.de,+49 4191-508100,+49 4191508129,"Kisdorfer Weg 28, 24568 Kaltenkirchen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wirtschaftsvereinigung Stahl,www.stahl-online.de,info@stahl-online.de,+49 30 23255460,+49 30 232554629,"Französische Str. 8, 10117 Berlin, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wvib Wirtschaftsverband,www.wvib.de,info@wvib.de,+49 761-4567-0,+49 761-4567-599,"Merzhauser Str. 118, 79100 Freiburg, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wirtschaftsförderungsgesellschaft,www.wfg-rd.de,k.lass@wfg-rd.de,+49 43 31 / 13 11 33,N/A,"Berliner Str. 2, 24768 Rendsburg, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wireless Netcontrol GmbH,www.wireless-netcontrol.com,info@wireless-netcontrol.de,+49 3303-409692,+49 3303409691,"Berliner Str. 4, 16540 Hohen Neuendorf, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WinTool AG,www.wintool.com,info@wintool.com,+41 41444010055,+41 41444012283,"Flüelastr. 7, 8048 Zürich, Schweiz",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Winkler und Dünnebier,www.w-u-d.com,sales@w-u-d.com,+49 26 34 / 96 76-200,+49 26 34 / 96 76-269,"Ringstr. 1, 56579 Rengsdorf, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WINGS GMBH Wismar International,www.wings.hs-wismar.de,office@wings.hs-wismar.de,+49 3841-753224,+49 3841/753296,"Philipp-Müller-Str. 14, 23966 Wismar, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WINGAS GmbH,www.wingas.de,info@wingas.de,+49 561-99858 0,+49 561 - 99858 110,"Königstor 20, 34117 Kassel, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wind River GmbH,www.europe.windriver.com,inquiries-de@windriver.com,+49 89-9624450,+49 89962445-999,"Steinheilstr. 10, 85737 Ismaning, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WIMO-Hebetechnik GmbH,www.wimo-ht.de,info@wimo-ht.de,+49 8331 95530,+49 8331 47675,"Bahnhofstr. 1, 87789 Woringen, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Willy Lillich GmbH Präzisions-,www.lillich-gmbh.de,info@lillich-gmbh.de,+49 7082 94540,+49 7082-94540-,"An der Mauer 9, 75334 Straubenhardt, Deutschland",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Willy A.Bachofen AG,www.wab-group.com,wab@wab-group.com,+41 616867100,+41 616867110,"Junkermattstr. 11, 4132 Muttenz 1, Schweiz",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
